Arquivo,Kernel,Processos_MPI,Tempo_MPI_s,Tempo_Serial_s,Speedup,Eficiencia
512,3,1,1.1363,0.756,0.6653172577664349,0.6653172577664349
512,3,2,0.5488,0.756,1.3775510204081634,0.6887755102040817
512,3,4,0.2825,0.756,2.6761061946902656,0.6690265486725664
512,3,8,0.1979,0.756,3.82011116725619,0.47751389590702376
512,5,1,1.989,2.577,1.295625942684766,1.295625942684766
512,5,2,0.9987,2.577,2.5803544607990387,1.2901772303995194
512,5,4,0.5177,2.577,4.977786362758354,1.2444465906895885
512,5,8,0.3826,2.577,6.735493988499739,0.8419367485624674
1024,3,1,4.5453,3.254,0.7159043407475854,0.7159043407475854
1024,3,2,2.3683,3.254,1.373981336823882,0.686990668411941
1024,3,4,1.3209,3.254,2.463471875236581,0.6158679688091453
1024,3,8,0.7958,3.254,4.088967077155064,0.511120884644383
1024,5,1,8.0446,10.312,1.281853665813092,1.281853665813092
1024,5,2,4.1199,10.312,2.5029733731401245,1.2514866865700622
1024,5,4,2.2203,10.312,4.644417421069225,1.1611043552673062
1024,5,8,1.5144,10.312,6.809297411516112,0.851162176439514
2048,3,1,19.4615,13.382,0.6876140071423066,0.6876140071423066
2048,3,2,10.5975,13.382,1.2627506487379099,0.6313753243689549
2048,3,4,6.4082,13.382,2.0882619144221466,0.5220654786055366
2048,3,8,4.4309,13.382,3.0201539190683606,0.3775192398835451
2048,5,1,33.6326,43.355,1.2890766696597944,1.2890766696597944
2048,5,2,17.6055,43.355,2.462582715628639,1.2312913578143194
2048,5,4,9.991,43.355,4.339405464918427,1.0848513662296067
2048,5,8,6.7046,43.355,6.466455866121766,0.8083069832652208
4095,3,1,79.192,57.203,0.7223330639458532,0.7223330639458532
4095,3,2,43.4302,57.203,1.3171249499196414,0.6585624749598207
4095,3,4,26.3561,57.203,2.1703893975208777,0.5425973493802194
4095,3,8,18.4076,57.203,3.1075751320106915,0.38844689150133643
4095,5,1,134.249,175.194,1.3049929608414215,1.3049929608414215
4095,5,2,71.3942,175.194,2.453896815147449,1.2269484075737245
4095,5,4,56.9791,175.194,3.074706339692975,0.7686765849232438
4095,5,8,38.6574,175.194,4.531965419298762,0.5664956774123453
4096,3,1,80.4828,55.688,0.6919242372283271,0.6919242372283271
4096,3,2,49.7366,55.688,1.1196583602417536,0.5598291801208768
4096,3,4,47.9663,55.688,1.1609817726195268,0.2902454431548817
4096,3,8,27.3263,55.688,2.0378902376099215,0.2547362797012402
4096,5,1,136.0679,171.272,1.258724504456966,1.258724504456966
4096,5,2,72.9568,171.272,2.3475810342558883,1.1737905171279441
4096,5,4,40.9573,171.272,4.181720963051764,1.045430240762941
4096,5,8,26.7984,171.272,6.391127828527075,0.7988909785658844
